Date : 2022-05-06 22:34:43
Directory : g:\Project\MiniProgram\tanei
Total : 154 files,  22974 codes, 771 comments, 1386 blanks, all 25131 lines

Languages
+------------+------------+------------+------------+------------+------------+
| language   | files      | code       | comment    | blank      | total      |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\myIdentity\myIdentity.js                                              | JavaScript |        513 |         12 |          5 |        530 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\myIdentity\myIdentity.json                                            | JSON       |          3 |          0 |          0 |          3 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\myIdentity\myIdentity.wxml                                            | wxml       |        195 |          0 |          3 |        198 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\myIdentity\myIdentity.wxss                                            | wxss       |          1 |          0 |          0 |          1 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\myReceivedRepairSheet\myReceivedRepairSheet.js                        | JavaScript |        415 |         12 |          5 |        432 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\myReceivedRepairSheet\myReceivedRepairSheet.json                      | JSON       |          3 |          0 |          0 |          3 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\myReceivedRepairSheet\myReceivedRepairSheet.wxml                      | wxml       |         99 |          0 |          4 |        103 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\aboutPage\package\myReceivedRepairSheet\myReceivedRepairSheet.wxss                      | wxss       |          1 |          0 |          0 |          1 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\home\home.js                                                                   | JavaScript |        107 |          0 |          3 |        110 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\home\home.json                                                                 | JSON       |          4 |          0 |          0 |          4 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\home\home.wxml                                                                 | wxml       |         22 |          0 |          2 |         24 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\home\home.wxss                                                                 | wxss       |         11 |          0 |          1 |         12 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\package\QASystem\QASystem.js                                                   | JavaScript |        209 |          7 |          2 |        218 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\package\QASystem\QASystem.json                                                 | JSON       |          3 |          0 |          0 |          3 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\package\QASystem\QASystem.wxml                                                 | wxml       |         45 |          0 |          3 |         48 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\package\QASystem\QASystem.wxss                                                 | wxss       |          4 |          0 |          0 |          4 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\package\feedback\feedback.js                                                   | JavaScript |        270 |          5 |          0 |        275 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\package\feedback\feedback.json                                                 | JSON       |          3 |          0 |          0 |          3 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\package\feedback\feedback.wxml                                                 | wxml       |         43 |          0 |          2 |         45 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\package\feedback\feedback.wxss                                                 | wxss       |          1 |          0 |          0 |          1 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\package\process\process.js                                                     | JavaScript |         16 |          1 |          0 |         17 |
| g:\Project\MiniProgram\tanei\miniprogram\pages\homePage\package\process\process.json                                                   | JSON       |          3 |          0 |          0 |          3 |
